feature,importance,std,source
comment_loc,0.011214953271028038,0.0037383177570093464,permutation
halstead_time,0.010280373831775703,0.007763199871886051,permutation
halstead_effort,0.010280373831775703,0.007763199871886051,permutation
blank_loc,0.007476635514018693,0.0037383177570093464,permutation
design_complexity,0.007476635514018693,0.005607476635514018,permutation
call_pairs,0.007476635514018693,0.005607476635514018,permutation
halstead_error,0.0065420560747663555,0.004282781023323215,permutation
halstead_volume,0.0065420560747663555,0.004282781023323215,permutation
code_and_comment_loc,0.0018691588785046732,0.0037383177570093464,permutation
condition_count,0.0,0.0,permutation
decision_count,0.0,0.0,permutation
cyclomatic_complexity,0.0,0.0,permutation
multiple_condition_count,0.0,0.0,permutation
branch_count,0.0,0.0,permutation
decision_density,0.0,0.0,permutation
design_density,0.0,0.0,permutation
normalized_cyclomatic_complexity,0.0,0.0,permutation
cyclomatic_density,0.0,0.0,permutation
halstead_difficulty,0.0,0.0,permutation
total_loc,0.0,0.0,permutation
halstead_level,0.0,0.0,permutation
halstead_length,0.0,0.0,permutation
halstead_vocabulary,0.0,0.0,permutation
total_operators,0.0,0.0,permutation
total_operands,0.0,0.0,permutation
unique_operators,0.0,0.0,permutation
unique_operands,0.0,0.0,permutation
executable_loc,0.0,0.0,permutation
formal_parameters,0.0,0.0,permutation
