dataset,model,repeat,fold,true_clean_pred_clean,true_clean_pred_defect,true_defect_pred_clean,true_defect_pred_defect,plot
ar3,SVM,1,5,11,0,1,0,public_dataset_output/results/confusion_matrices/ar3/svm/repeat_01_fold_05.png
ar3,SVM,2,1,11,0,2,0,public_dataset_output/results/confusion_matrices/ar3/svm/repeat_02_fold_01.png
ar3,SVM,2,2,10,1,1,1,public_dataset_output/results/confusion_matrices/ar3/svm/repeat_02_fold_02.png
ar3,SVM,2,3,10,1,2,0,public_dataset_output/results/confusion_matrices/ar3/svm/repeat_02_fold_03.png
ar3,SVM,2,4,11,0,0,1,public_dataset_output/results/confusion_matrices/ar3/svm/repeat_02_fold_04.png
ar3,SVM,2,5,11,0,1,0,public_dataset_output/results/confusion_matrices/ar3/svm/repeat_02_fold_05.png
ar3,Logistic Regression,1,1,10,1,1,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_01_fold_01.png
ar3,Logistic Regression,1,2,11,0,2,0,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_01_fold_02.png
ar3,Logistic Regression,1,3,11,0,1,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_01_fold_03.png
ar3,Logistic Regression,1,4,10,1,0,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_01_fold_04.png
ar3,Logistic Regression,1,5,11,0,1,0,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_01_fold_05.png
ar3,Logistic Regression,2,1,11,0,1,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_02_fold_01.png
ar3,Logistic Regression,2,2,9,2,1,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_02_fold_02.png
ar3,Logistic Regression,2,3,9,2,1,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_02_fold_03.png
ar3,Logistic Regression,2,4,11,0,0,1,public_dataset_output/results/confusion_matrices/ar3/logistic_regression/repeat_02_fold_04.png
